Name of affiliated standard sample;Test mode;Light source/angle;L*;a*;b*;400nm;410nm;420nm;430nm;440nm;450nm;460nm;470nm;480nm;490nm;500nm;510nm;520nm;530nm;540nm;550nm;560nm;570nm;580nm;590nm;600nm;610nm;620nm;630nm;640nm;650nm;660nm;670nm;680nm;690nm;700nm
-;M0;D50/2°;56,01;3,5;-38,28;37,47;44,47;48,21;51,61;55,86;58,68;58,38;55,87;51,73;46,24;40,41;35,11;30,43;26,57;23,6;20,94;18,45;17,04;17,5;19,02;20,12;20,43;20,04;19,85;20,36;21,62;22,87;23,46;23,2;22,82;22,38
-;M0;D50/2°;38,48;-42,9;5,15;4,99;5,93;6,29;6,14;5,6;5,77;7,14;9,45;12,72;16,86;21,14;24;24,16;21,03;15,93;10,65;6,13;2,93;1,89;2,86;4,29;5,17;5,48;5,29;4,79;4,31;4,08;4,3;4,82;5,3;5,67
-;M0;D50/2°;68,88;-19,62;-39,01;48,88;57,19;63,23;69,78;78,55;85,31;87,23;85,73;82,04;76,99;71,49;66,45;61,03;54,64;47,52;39,76;32,15;26,35;23,54;22,49;21,56;20,97;20,8;20,87;21,43;22,87;24,43;25,18;24,76;24,15;23,44
-;M0;D50/2°;62,02;51,25;35,83;8,78;10,54;11,03;10,74;10,06;10,09;11,11;12,74;14,78;16,92;18,77;19,29;18,05;15,29;12,69;11,72;12,48;16,29;26,79;44,55;62,25;75,13;83;87,35;89,16;89,97;89,54;89,4;89,57;90,05;90,78
-;M0;D50/2°;75,1;-32,03;78,14;6,02;3,92;3,01;3,23;3,51;3,63;3,33;2,91;4,22;10,29;23,1;41,14;59,95;72,8;74,28;66,03;54,1;43,11;37,14;36,99;38,83;39,35;38,03;37,2;37,24;37,94;38,88;39,6;39,89;40,23;40,66
-;M0;D50/2°;68,68;-38,06;15,37;16,63;19,91;21,33;22,06;22,51;23,63;25,74;28,87;33,58;40,4;48,85;56,75;61,52;60,72;54,69;45,97;37,03;29,54;25,12;23,54;23,29;23,58;23,91;23,9;23,66;23,78;24,25;25,06;25,84;26,47;26,91
-;M0;D50/2°;39,71;-27,16;-35,01;9,9;14,61;17,65;20,36;24,06;27,75;30,5;32,97;35,03;35,94;34,97;31,45;25,45;18,22;11,91;7,4;4,49;2,95;2,77;3,19;3,28;3,57;4,46;4,76;4,46;4,21;4,16;4,36;4,62;4,87;5,05
-;M0;D50/2°;28,05;-15,04;-10,38;4,85;6,22;6,8;6,97;7,03;7,33;7,91;8,71;9,66;10,58;11,15;10,91;9,76;7,98;6,22;4,84;3,87;3,28;3,07;3,08;3,18;3,38;3,71;3,85;3,77;3,68;3,64;3,72;3,88;4,02;4,13
-;M0;D50/2°;63,39;19,23;27,55;10,44;13,08;13,99;13,99;13,56;13,83;15,18;17,32;20,08;23,09;25,87;27,49;27,54;26,18;24,66;24,05;24,44;26,45;31,73;40,06;47,37;51,72;53,56;54;53,92;54,14;54,28;54,93;55,88;56,98;58,2
-;M0;D50/2°;70,44;44,9;3,23;31,18;36,52;38,53;39,29;39,63;39,87;39,81;39,41;38,58;37,02;35;32,41;29,02;25,09;22,14;21,38;22,54;27,1;38,78;57,47;74,77;85,01;89,05;90,54;91,16;91,73;91,45;91,42;91,55;91,95;92,61
-;M0;D50/2°;46,19;35,6;-20,64;22,99;27,38;28,67;29,08;29,14;28,73;27,51;25,49;22,79;19,55;16,33;13,43;10,99;9,32;8,5;8,27;8,39;9,58;13,25;19,3;24,98;28,85;30,49;31,42;32,91;35,44;38,2;40,86;43,14;45,36;47,55
-;M0;D50/2°;65,38;-10,05;-15,22;29,59;36,12;39,53;42,37;45,89;48,72;49,76;49,71;49,04;47,91;46,67;45,34;43,53;41,16;38,43;35,26;31,96;29,42;28,18;27,63;27,1;27;27,24;27,48;27,87;28,84;29,85;30,54;30,63;30,6;30,5
-;M0;D50/2°;36,35;43,06;1,57;9,54;11,23;11,37;10,87;9,9;9,09;8,59;7,96;7,23;6,6;6,05;5,23;4,29;3,78;3,78;3,87;3,89;4,35;6,42;10,65;15,84;21,63;26,63;30,22;33,4;37,47;41,87;46,36;50,61;54,74;58,79
-;M0;D50/2°;75,62;6,6;-26,9;57,68;64,61;69,59;74,53;80,64;84,89;85,29;82,67;77,98;71,79;65,23;59,63;54,83;50,77;47,42;44,23;41,25;39,95;41,84;45,93;49,14;50,53;50,49;50,39;51,03;52,69;54,17;54,91;54,61;54,2;53,8
-;M0;D50/2°;22,37;11,43;-4,67;4,05;4,82;5,03;4,99;4,83;4,69;4,54;4,28;3,95;3,61;3,31;3,04;2,84;2,78;2,84;2,91;3,01;3,23;3,63;4,22;4,76;5,13;5,33;5,46;5,6;5,83;6,08;6,32;6,51;6,72;6,94
-;M0;D50/2°;38,93;11,86;-16,95;12,88;16,26;17,39;17,8;18,07;18,23;18,11;17,75;17,11;16,04;14,61;12,78;10,8;9,16;8,26;7,98;8,02;8,48;9,55;11;12,19;13,03;13,42;13,62;14,01;14,85;15,85;16,85;17,7;18,49;19,24
-;M0;D50/2°;45,94;-44,68;-22,11;11,16;15,4;17,8;19,46;21,4;23,94;26,95;30,67;34,95;39,04;41,69;41,23;36,76;28,81;20,18;12,96;7,55;4,03;2,86;3,35;4,02;4,67;5,5;5,56;4,96;4,39;4,17;4,48;5,09;5,61;5,96
-;M0;D50/2°;70,12;-45,85;6,68;21,05;25,09;27,05;28,34;29,48;31,24;33,79;37,31;42,48;49,93;59,06;67,39;71,71;68,97;59,91;48,06;36,43;26,99;21,87;20,62;20,91;21,39;21,59;21,37;20,95;20,97;21,47;22,33;23,17;23,81;24,21
-;M0;D50/2°;74,81;-5,78;28,86;16,11;19,81;21,28;21,83;22,12;22,95;24,59;26,99;30,37;34,84;40,16;45,27;49,27;51,38;51,51;50,2;48,39;47,02;46,9;48,01;49,1;50,04;50,9;51,27;51,26;51,62;51,95;52,57;53,2;53,85;54,51
-;M0;D50/2°;52,5;-29,87;5,76;10,51;13,09;14,14;14,58;14,83;15,5;16,76;18,6;21,2;24,64;28,53;31,62;32,78;31,34;27,93;23,63;19,33;15,77;13,52;12,36;11,86;11,9;12,22;12,33;12,21;12,26;12,49;12,92;13,35;13,7;13,93
-;M0;D50/2°;36,11;36,67;12,81;5,35;6,27;6,43;6,16;5,65;5,41;5,52;5,66;5,83;6,09;6,26;5,92;5,15;4,51;4,26;4,2;4,25;4,77;6,71;10,55;15,19;20,36;25;28,27;30,73;33,55;36,37;39,22;41,85;44,43;46,95
-;M0;D50/2°;80,44;21,9;10,86;33,08;39,13;41,92;43,55;45,07;46,59;47,81;48,87;49,85;50,55;51,02;51,02;50,1;48,12;46,16;45,23;45,49;48,29;56,24;69,05;80,23;86,03;87,82;87,99;87,72;87,79;87,43;87,51;87,78;88,29;89,02
-;M0;D50/2°;37,17;4,07;17,13;3,66;4,33;4,57;4,5;4,24;4,25;4,7;5,39;6,33;7,48;8,66;9,49;9,74;9,46;8,96;8,49;8,19;8,27;9,06;10,49;11,77;12,63;13,1;13,24;13,28;13,48;13,74;14,17;14,66;15,17;15,69
-;M0;D50/2°;70,62;27,42;6,28;26,11;31,58;33,81;34,87;35,73;36,63;37,38;38,04;38,53;38,49;37,94;36,63;34,42;31,63;29,54;29;29,79;32,89;40,6;52,53;62,97;68,77;70,76;71,17;71,23;71,66;71,75;72,12;72,57;73,2;74
-;M0;D50/2°;65,4;-4,66;61,47;4,42;4,15;4,01;3,96;3,74;3,83;4,38;5,29;7,15;10,92;17,13;24,92;32,67;38,25;40,19;38,9;36,22;33,97;33,89;36,22;38,67;39,89;39,95;39,77;39,69;39,99;40,29;40,74;41,16;41,68;42,33
-;M0;D50/2°;47,34;-7,29;32,49;3,83;4,18;4,3;4,22;3,93;3,99;4,6;5,6;7,18;9,59;12,78;16,03;18,49;19,47;18,93;17,4;15,62;14,33;14,33;15,58;16,89;17,65;17,86;17,81;17,69;17,74;17,86;18,16;18,5;18,88;19,27
-;M0;D50/2°;64,61;15,36;-11,88;30,07;36,29;39,15;41,16;43,42;45,09;45,35;44,65;43,17;40,82;38,06;35,16;32,24;29,65;27,96;27,09;26,76;27,75;31,28;36,75;41,24;43,63;44,28;44,37;44,7;45,7;46,56;47,23;47,49;47,74;48,04
-;M0;D50/2°;68,12;35,69;-27,67;55,16;60,74;64,04;66,86;69,88;71,19;69,35;64,89;58,44;50,48;42,61;36,18;31,25;27,73;25,62;24,59;24,29;26,49;34;46,25;57,11;62,71;63,57;63,64;64,52;66,27;67,47;67,96;67,58;67,23;67
-;M0;D50/2°;77,54;23,84;55,56;9,41;10,81;11,25;11,08;10,4;10,67;12,39;15,2;19,25;24,73;31,55;38,22;43,05;44,38;42,87;40,87;39,86;41,94;51,07;67,5;82,52;90,43;92,72;92,75;91,97;91,3;90,35;90,42;91,3;92,64;94,33
-;M0;D50/2°;73,72;-35,58;-17,75;38,53;45,57;50,02;54,18;59,34;63,93;66,73;68,57;70,35;72,69;75,4;77,5;76,77;71,3;61,92;50,87;40,19;31,66;26,86;24,87;23,93;23,74;23,99;24,08;24,17;24,91;25,99;26,89;27,19;27,25;27,09
-;M0;D50/2°;50,74;8,62;-50,68;41,01;48;51,98;55,97;61,15;64,29;63,17;58,95;52,48;44,41;36,38;29,78;24,75;21,23;18,65;16,03;13,31;11,69;12,14;13,9;15,2;15,37;14,52;14,13;14,78;16,27;17,71;18,19;17,58;16,84;16,09
-;M0;D50/2°;89,83;-15,12;13,17;39,31;45,59;49,24;52,13;55,36;58,51;61,07;63,48;66,56;70,98;76,69;82,95;88,07;89,9;87,49;82;75,9;70,78;67,89;67,22;66,99;67,03;67,56;67,85;67,89;68,53;69,11;69,77;70,07;70,33;70,54
-;M0;D50/2°;78,45;-9,84;-27,54;58,69;66,09;71,86;77,91;85,66;91,5;93,12;91,52;87,93;83,18;78,13;73,9;69,79;65,19;59,99;54,01;47,98;43,5;41,77;41,71;41,53;41,35;41,29;41,43;42,12;43,82;45,49;46,37;46,08;45,59;45,02
-;M0;D50/2°;34,26;-10,68;-41,57;10,52;15,01;17,88;20,75;24,83;28,31;29,76;30,1;29,44;27,52;24,49;20,49;15,85;11,42;8,01;5,55;3,84;2,98;2,97;3,22;3,1;3,07;3,51;3,76;3,8;3,98;4,22;4,33;4,21;4,09;3,99
-;M0;D50/2°;86,31;0,96;-15,5;62,76;69,64;75,18;80,8;87,78;93,03;94,55;93,11;89,83;85,43;80,76;77,23;74,44;71,98;69,4;66,17;62,84;60,97;61,82;64,63;66,64;67,38;67,54;67,65;68,18;69,66;70,84;71,43;71,05;70,62;70,21
-;M0;D50/2°;22,04;5,23;-19,24;5,67;7,1;7,63;7,92;8,22;8,39;8,19;7,71;6,98;6,1;5,22;4,43;3,81;3,44;3,27;3,1;2,95;2,92;3;3,15;3,27;3,31;3,31;3,35;3,44;3,6;3,74;3,79;3,73;3,68;3,63
-;M0;D50/2°;51,33;13,73;26,87;5,79;7,08;7,5;7,31;6,76;6,81;7,81;9,45;11,63;14,13;16,54;18,01;18,17;17,16;15,85;15;14,76;15,56;18,44;23,3;27,67;30,59;32,09;32,62;32,85;33,48;34,24;35,41;36,78;38,21;39,67
-;M0;D50/2°;30,96;-16,02;-1,84;4,66;5,77;6,2;6,26;6,15;6,29;6,76;7,48;8,42;9,51;10,52;10,95;10,57;9,48;8,11;6,79;5,67;4,86;4,41;4,23;4,22;4,34;4,59;4,7;4,64;4,6;4,6;4,73;4,9;5,06;5,18
-;M0;D50/2°;37,64;49,51;-8,32;16,26;18,73;18,7;17,72;15,93;14,12;12,56;10,72;8,72;6,95;5,62;4,55;3,8;3,74;4,11;4,24;3,99;4,13;6,12;10,78;17,03;24,12;30,16;34,67;38,65;43,38;48,16;52,7;56,72;60,56;64,27
-;M0;D50/2°;57,07;10,58;47,97;4,17;4,31;4,34;4,24;3,92;4,01;4,68;5,77;7,51;10,33;14,35;18,75;22,42;24,22;24,01;22,63;21,11;20,76;23,45;29,27;34,76;38,01;39,15;39,43;39,47;39,75;39,94;40,35;40,85;41,47;42,22
-;M0;D50/2°;70,7;-25,71;37,45;10,7;12,35;12,94;13,07;12,84;13,31;14,93;17,57;21,84;28,46;37,31;46,54;53,9;56,92;54,92;49,51;43,1;37,44;34,07;33,07;33,12;33,52;33,87;33,96;33,85;34,09;34,55;35,31;36,07;36,77;37,41
-;M0;D50/2°;31,84;35,34;-14,6;13,22;15,57;15,74;15,17;14;12,72;11,46;9,9;8,14;6,45;5,13;4,19;3,65;3,6;3,8;3,88;3,81;4,06;5,49;8,34;11,56;14,5;16,37;17,73;19,47;22,09;25,07;28,05;30,76;33,34;35,84
-;M0;D50/2°;86,5;-4,07;56,76;13,4;15,34;16,05;16,23;16,04;16,63;18,45;21,39;26,12;33,58;44,04;55,96;67,08;74,38;76,01;73,41;69,62;66,9;67,69;72,63;77,5;79,77;80,27;80,03;79,44;79,2;78,87;79,19;79,84;80,73;81,79
-;M0;D50/2°;62,47;36,41;24,02;12,04;14,92;15,84;15,78;15,28;15,4;16,45;18,12;20,18;22,2;23,75;24,01;22,64;19,96;17,59;16,86;17,72;21,05;29,44;42,88;55,29;63,2;67,01;68,56;69,03;69,45;69,38;69,76;70,45;71,36;72,45
-;M0;D50/2°;62,31;-2,11;20,73;11,45;14,42;15,55;15,87;15,94;16,49;17,73;19,56;22,03;24,99;28,11;30,57;31,88;31,98;31,37;30,46;29,56;29,15;29,8;31,31;32,62;33,69;34,52;34,84;34,87;35,21;35,56;36,15;36,76;37,38;37,99
-;M0;D50/2°;74,26;-20,43;-22,83;44,27;51,96;57,07;62,18;68,8;74,09;76,08;75,85;74,43;72,49;70,56;68,93;66,57;62,6;57,02;50,14;43,07;37,31;33,88;31,84;30,25;29,63;29,83;30,17;30,74;32,07;33,49;34,32;34,19;33,86;33,41
-;M0;D50/2°;88,21;-12,99;25,52;28,92;34,18;36,79;38,52;40,25;42,31;44,65;47,5;51,54;57,38;64,95;73,1;80,09;83,72;82,87;78,69;73,67;69,41;67,25;67,4;67,95;68,41;69,06;69,33;69,23;69,61;69,92;70,51;70,99;71,48;71,97
-;M0;D50/2°;52,65;19,02;-26,78;28,66;34,47;36,94;38,69;40,66;41,76;41,06;39,04;35,94;31,87;27,56;23,6;20,21;17,69;16,23;15,39;14,87;15,39;17,92;21,95;25,33;27,13;27,4;27,45;28,08;29,46;30,83;31,83;32,26;32,62;32,98
-;M0;D50/2°;59,01;30,71;-2,53;21,32;26,09;27,83;28,55;29,04;29,47;29,59;29,46;28,97;27,87;26,26;24,05;21,33;18,6;16,87;16,53;17,25;19,72;25,69;34,85;42,97;47,92;49,92;50,66;51,28;52,43;53,42;54,5;55,47;56,51;57,64
-;M0;D50/2°;58,73;-8,38;-47,87;44,32;52,32;57,56;63,1;70,51;75,82;76,37;73,52;68,29;61,31;53,85;47,12;40,91;35,23;30,12;24,98;20;16,48;15,38;15,59;15,56;15,2;14,67;14,51;15,07;16,46;17,9;18,46;17,89;17,17;16,4
-;M0;D50/2°;39,08;26,99;-7,01;11,24;13,88;14,54;14,45;13,98;13,61;13,38;13,12;12,73;12,11;11,23;9,91;8,28;6,83;6,02;5,89;6,21;7,2;9,59;13,32;16,84;19,52;21,07;21,94;22,88;24,41;26,15;28;29,74;31,45;33,12
-;M0;D50/2°;60,64;3,1;-23,93;32,32;38,96;42,28;44,99;48,28;50,64;50,89;49,7;47,46;44,25;40,66;37,14;33,68;30,54;28,05;25,91;23,99;23,08;23,92;25,82;27,24;27,94;28;27,99;28,4;29,48;30,55;31,22;31,25;31,19;31,09
-;M0;D50/2°;29,57;-2,45;8,74;3,1;3,66;3,89;3,86;3,69;3,72;4;4,42;4,97;5,63;6,27;6,64;6,66;6,45;6,18;5,92;5,73;5,67;5,75;5,93;6,08;6,26;6,47;6,57;6,57;6,62;6,7;6,87;7,08;7,31;7,53
-;M0;D50/2°;60,42;-35,85;-8,01;19,67;24,49;26,83;28,45;30,21;32,18;34,14;36,39;39,28;42,89;46,73;49,37;49,26;45,47;39,12;31,89;25,01;19,48;16,2;14,66;13,98;13,97;14,33;14,43;14,3;14,47;14,92;15,52;15,97;16,27;16,38
-;M0;D50/2°;43,32;-10,68;-33,11;17,94;23,14;25,74;27,97;30,88;33,15;33,72;33,28;32,04;29,99;27,45;24,52;21,21;17,88;14,99;12,41;10,14;8,56;7,91;7,65;7,36;7,21;7,28;7,38;7,59;8,1;8,68;9,01;8,95;8,82;8,64
-;M0;D50/2°;35,9;-15,2;-15,3;8,5;11,05;12,16;12,78;13,43;14,15;14,76;15,38;16;16,49;16,65;16,07;14,61;12,54;10,46;8,65;7,16;6,13;5,59;5,31;5,16;5,22;5,5;5,64;5,64;5,72;5,87;6,07;6,22;6,33;6,38
-;M0;D50/2°;73,1;21,9;22,55;18,87;23,19;24,82;25,31;25,41;26,05;27,44;29,44;31,93;34,58;37,07;38,6;38,63;37,1;35,28;34,49;34,89;37,54;44,78;56,36;66,54;72,11;74,06;74,32;74,03;74,05;73,82;74,18;74,89;75,83;76,96
-;M0;D50/2°;34,77;35,86;-29,04;21,68;25,18;25,68;25,27;24,16;22,57;20,49;17,66;14,29;10,82;7,96;6;4,98;4,83;5,03;5,01;4,73;4,88;6,54;9,8;13,13;15,55;16,31;16,88;18,65;21,93;25,97;30,02;33,72;37,25;40,66
-;M0;D50/2°;76,32;-5,03;-18,79;47,07;54,56;59,37;63,93;69,66;74,06;75,38;74,51;72,26;69,11;65,72;62,8;59,93;56,86;53,57;49,75;45,85;43,13;42,55;43,28;43,68;43,88;44,05;44,24;44,78;46,17;47,49;48,26;48,13;47,89;47,6
-;M0;D50/2°;48,44;29,91;35,32;4,07;4,51;4,63;4,44;4,04;4,07;4,69;5,65;6,98;8,74;10,78;12,35;12,95;12,38;11,23;10,19;9,65;10,48;14,49;21,98;29,64;35,58;39,47;41,73;42,87;43,78;44,17;44,58;44,91;45,33;45,85
-;M0;D50/2°;55,08;28,25;8,38;13,28;16,63;17,74;17,91;17,75;17,91;18,51;19,38;20,31;20,97;21,07;20,16;18,23;15,88;14,24;13,92;14,64;16,85;22,02;29,94;37,05;41,71;44,01;44,97;45,59;46,67;47,7;49,02;50,4;51,87;53,39
-;M0;D50/2°;33,79;13,59;-46,32;20,36;25,26;27,44;29,41;32,03;33,44;32,32;29,43;25,22;20,11;15,24;11,49;9,07;7,92;7,38;6,59;5,53;4,89;5,12;5,89;6,47;6,47;5,95;5,8;6,31;7,31;8,31;8,73;8,51;8,22;7,95
-;M0;D50/2°;51,5;36,63;23,61;7,39;9,01;9,46;9,23;8,62;8,56;9,3;10,49;11,98;13,54;14,76;14,91;13,79;11,84;10,17;9,55;9,93;11,94;17,49;26,76;35,86;42,79;47,21;49,67;51,06;52,48;53,58;54,9;56,29;57,78;59,36
-;M0;D50/2°;76,62;15,66;-4,46;38,57;45,41;49;51,77;54,96;57,44;58,23;57,82;56,52;54,34;51,77;49,3;46,92;44,86;43,57;42,98;42,93;44,53;49,38;56,9;63,06;66,15;67,01;67,1;67,3;68,18;68,76;69,25;69,37;69,58;69,9
-;M0;D50/2°;68,25;-21,53;-0,7;23,53;28,94;31,57;33,46;35,6;37,72;39,38;41;42,99;45,53;48,48;50,94;51,82;50,37;46,92;42,2;37,23;32,99;30,14;28,26;27,02;26,82;27,34;27,72;27,94;28,59;29,35;30,08;30,46;30,7;30,81
-;M0;D50/2°;53,79;-7,41;-42,37;34,06;41,39;45,56;49,61;54,96;58,81;59,18;57,2;53,51;48,45;42,93;37,7;32,71;28,12;24,13;20,27;16,58;14,01;13,19;13,28;13,18;12,93;12,63;12,56;13,01;14,1;15,26;15,77;15,44;14,97;14,46
-;M0;D50/2°;73,71;-8,3;50,84;8,44;9,65;10,05;9,99;9,54;9,85;11,4;13,96;17,98;24,01;31,99;40,49;47,81;52,11;52,62;50,36;47,18;44,63;44,27;46,3;48,52;49,93;50,6;50,73;50,56;50,74;50,98;51,65;52,45;53,34;54,28
-;M0;D50/2°;43,65;-18,46;-21,62;13,67;17,75;19,69;21,15;22,96;24,57;25,41;25,89;26,14;26,08;25,68;24,57;22,47;19,56;16,5;13,58;10,98;9,05;8,03;7,51;7,14;7,07;7,29;7,42;7,47;7,73;8,09;8,39;8,49;8,53;8,49
-;M0;D50/2°;28,87;-4,23;-11,93;6,02;7,66;8,28;8,53;8,71;8,94;9,13;9,27;9,38;9,36;9,15;8,58;7,68;6,7;5,92;5,33;4,92;4,7;4,63;4,58;4,54;4,6;4,78;4,88;4,93;5,04;5,18;5,33;5,44;5,54;5,62
-;M0;D50/2°;40,3;1,6;11,87;5,29;6,57;7;6,92;6,6;6,61;7,17;8,09;9,3;10,65;11,85;12,42;12,23;11,49;10,73;10,21;9,95;10,06;10,75;11,88;12,87;13,62;14,12;14,3;14,34;14,56;14,87;15,38;15,95;16,53;17,09
-;M0;D50/2°;52,63;36,57;-31,7;37,56;42,95;45,04;46,36;47,52;47,48;45,31;41,38;36,08;29,82;23,86;19,14;15,77;13,71;12,68;12,15;11,88;13,07;17,61;25,19;32,09;36,02;36,78;37,1;38,38;40,68;42,89;44,54;45,44;46,27;47,1
-;M0;D50/2°;75,5;30,94;3,75;34,05;40,05;42,67;44,1;45,3;46,37;46,98;47,21;47,05;46,2;44,85;42,93;40,19;36,81;34,19;33,36;34,12;37,81;47,36;62,41;75,69;82,81;84,98;85,29;85,25;85,55;85,36;85,49;85,76;86,28;87,01
-;M0;D50/2°;59,16;-14,99;-30,91;31,72;38,8;42,75;46,4;51,12;54,78;55,79;55,12;53,32;50,64;47,57;44,35;40,59;36,27;31,83;27,26;22,84;19,51;17,88;17,16;16,51;16,17;16,14;16,22;16,57;17,51;18,54;19,13;19,01;18,76;18,41
-;M0;D50/2°;49,37;-14,09;19,25;6,29;7,74;8,27;8,3;8,09;8,31;9,2;10,62;12,64;15,27;18,23;20,67;22,05;22,11;21,19;19,68;18,02;16,6;15,71;15,22;15;15,19;15,64;15,87;15,87;16,02;16,25;16,67;17,11;17,52;17,89
-;M0;D50/2°;57,63;-42,02;22,13;8,7;10,01;10,47;10,51;10,15;10,49;12,03;14,59;18,64;24,69;32,36;39,61;44,09;43,68;38,72;31,39;23,83;17,56;14,1;13,35;13,75;14,19;14,31;14,13;13,77;13,62;13,8;14,34;15,01;15,57;16
-;M0;D50/2°;71;22,43;63,99;5,29;5,38;5,37;5,16;4,59;4,74;5,93;7,86;10,82;15,31;21,49;28,17;33,64;36,1;35,57;33,87;32,56;33,75;41,05;54,69;67,2;73,86;75,66;75,67;75,22;75,04;74,68;75,03;75,92;77,17;78,73
