Name of affiliated standard sample;Test mode;Light source/angle;L*;a*;b*;400nm;410nm;420nm;430nm;440nm;450nm;460nm;470nm;480nm;490nm;500nm;510nm;520nm;530nm;540nm;550nm;560nm;570nm;580nm;590nm;600nm;610nm;620nm;630nm;640nm;650nm;660nm;670nm;680nm;690nm;700nm
-;M0;D50/2°;82,43;-0,19;36,05;18,72;22,57;24,16;24,86;25,29;26,31;28,14;30,76;34,54;39,8;46,47;53,43;59,37;62,82;63,28;61,71;59,68;58,66;60,32;64,84;68,97;71,17;72,09;72,21;71,91;71,97;71,91;72,34;72,93;73,69;74,56
-;M0;D50/2°;40,36;24,05;13,1;5,62;6,9;7,27;7,11;6,68;6,59;7,04;7,75;8,62;9,48;10,06;9,89;8,99;7,8;6,96;6,74;7,03;8,03;10,51;14,48;18,31;21,41;23,52;24,72;25,58;26,8;28,12;29,66;31,22;32,79;34,35
-;M0;D50/2°;73,8;7,16;-18,13;45,07;52,3;56,6;60,45;65,17;68,63;69,27;67,85;64,99;60,98;56,61;52,71;49,2;46,19;43,84;41,72;39,81;39,3;41,45;45,46;48,58;50,07;50,35;50,39;50,86;52,19;53,35;54,04;53,96;53,83;53,72
-;M0;D50/2°;62,09;50,68;10,65;19,45;23,38;24,53;24,55;24,09;23,87;23,95;24,11;24,18;23,87;23,12;21,48;18,76;15,37;12,79;12,1;13,08;16,99;27,18;43,95;60,31;71,65;77,9;81,23;82,85;83,93;83,91;83,96;84,05;84,36;84,87
-;M0;D50/2°;43,65;8,78;-32,43;21,86;27,09;29,29;30,88;32,76;33,91;33,44;31,86;29,37;26,01;22,36;18,87;15,79;13,5;12,09;11,11;10,28;10,02;10,69;11,86;12,75;13,19;13,16;13,18;13,66;14,7;15,82;16,61;16,92;17,15;17,34
-;M0;D50/2°;75,81;-24,35;18,52;20,82;25,06;26,98;28,13;29,15;30,64;32,68;35,43;39,45;45,24;52,53;59,7;64,77;65,77;62,43;56,36;49,68;43,9;40,3;38,73;38,11;38,28;38,84;39,12;39,14;39,6;40,23;41,07;41,75;42,31;42,76
-;M0;D50/2°;66,48;-28,48;60,09;5,16;4,28;3,89;3,92;3,81;3,97;4,48;5,38;7,74;13,24;22,71;34,63;45,99;52,79;52,58;46,74;38,81;31,63;27,74;27,52;28,6;29,13;28,7;28,35;28,3;28,68;29,28;29,93;30,41;30,91;31,43
-;M0;D50/2°;81,97;13,16;19,27;28,03;33,61;36,11;37,44;38,59;40,04;41,74;43,75;46,2;48,95;51,86;54,31;55,55;55,08;53,64;52,38;51,88;53,43;59,2;69,02;77,52;81,86;83,22;83,24;82,82;82,8;82,52;82,78;83,3;84,03;84,94
-;M0;D50/2°;60,61;-45,79;3,23;15,22;18,62;20,16;20,99;21,6;22,87;25,09;28,28;32,85;39,03;46,08;51,82;53,85;50,37;42,61;33,31;24,46;17,42;13,66;12,78;13,05;13,49;13,76;13,59;13,14;12,95;13,16;13,77;14,48;15,04;15,39
-;M0;D50/2°;68,33;15,72;-27,41;48,51;55,33;59,34;62,93;67,21;69,95;69,57;66,77;62,18;56,15;49,77;44,17;39,42;35,69;33,13;31,23;29,74;29,93;33,35;39,17;43,93;46,16;46,22;46,04;46,63;48,16;49,49;50,19;50,03;49,8;49,59
-;M0;D50/2°;45,74;-51,64;12,84;5,87;6,66;6,95;6,84;6,31;6,55;8,11;10,74;14,69;20,18;26,57;31,84;33,89;31,2;24,92;17,47;10,55;5,32;3,22;4,12;5,82;6,8;6,92;6,55;5,94;5,42;5,25;5,56;6,18;6,73;7,15
-;M0;D50/2°;63,93;27,68;-17,76;36,15;42,34;45,2;47,26;49,51;50,83;50,22;48,15;44,88;40,52;35,9;31,71;28,04;25,12;23,34;22,62;22,63;24,49;30,14;39,04;46,72;50,81;51,73;51,88;52,43;53,66;54,57;55,12;55,13;55,17;55,3
-;M0;D50/2°;23,95;5,57;-14,36;5,62;6,99;7,45;7,59;7,66;7,68;7,54;7,22;6,77;6,19;5,56;4,91;4,29;3,85;3,62;3,49;3,42;3,48;3,67;3,93;4,16;4,28;4,34;4,39;4,48;4,66;4,85;5;5,07;5,15;5,22
-;M0;D50/2°;44,38;38,36;-10,06;16,57;20,01;20,86;20,83;20,38;19,83;19,14;18,11;16,76;15,08;13,3;11,32;9,29;7,62;6,71;6,51;6,79;8,13;11,94;18,3;24,58;29,44;32,28;34,01;35,75;38,25;40,85;43,46;45,81;48,12;50,41
-;M0;D50/2°;77,36;-28,35;4,78;29,44;35,01;37,94;40,16;42,6;45,15;47,46;49,96;53,36;58,24;64,35;70,25;73,74;72,65;66,99;58,72;50,16;42,97;38,64;36,74;35,94;35,98;36,44;36,68;36,75;37,37;38,2;39,09;39,63;40;40,19
-;M0;D50/2°;43,26;39,26;0,77;11,46;13,96;14,52;14,3;13,69;13,24;13,05;12,84;12,54;12,08;11,39;10,16;8,45;6,82;5,82;5,59;5,91;7,28;11,07;17,5;24,09;29,63;33,44;35,84;37,74;40,07;42,35;44,66;46,8;48,91;51,02
-;M0;D50/2°;57,02;48,57;-7,06;25,84;30,4;31,76;32,08;31,98;31,56;30,55;28,92;26,7;23,91;21,04;18,17;15,29;12,66;10,96;10,52;11,09;13,89;21,7;34,66;47,32;56,11;60,67;63,24;65,11;67,1;68,37;69,36;70,01;70,73;71,57
-;M0;D50/2°;52,67;-44,53;37,45;4,81;4,27;4,03;4,02;3,79;3,91;4,57;5,71;8,13;13,04;20,77;29,63;36,77;38,97;35,35;27,94;19,59;12,62;9,28;9,72;11,35;12,06;11,56;10,98;10,62;10,53;10,77;11,19;11,63;12,04;12,39
-;M0;D50/2°;49,73;-2,49;-17,79;18,27;23,06;25,12;26,48;28,05;29,3;29,67;29,53;28,98;27,95;26,57;24,77;22,58;20,33;18,49;16,96;15,63;14,85;14,88;15,28;15,55;15,83;16,07;16,21;16,47;17,13;17,83;18,4;18,64;18,81;18,93
-;M0;D50/2°;70,17;-31,25;-13,6;31,89;38,41;42,13;45,4;49,4;53,01;55,23;56,8;58,44;60,58;63,13;65,16;64,89;60,91;53,83;45,25;36,77;29,9;25,9;24,01;22,99;22,74;22,97;23,08;23,19;23,85;24,78;25,57;25,85;25,94;25,85
-;M0;D50/2°;66,27;-18,1;15,16;15,35;19,01;20,54;21,32;21,97;23;24,49;26,51;29,35;33,17;37,71;41,83;44,45;44,76;42,93;39,66;35,97;32,74;30,6;29,36;28,66;28,75;29,34;29,69;29,79;30,22;30,75;31,43;31,98;32,45;32,83
-;M0;D50/2°;31,62;17;-10,34;8,22;10,21;10,74;10,75;10,55;10,34;10,1;9,74;9,25;8,6;7,84;6,92;5,95;5,18;4,79;4,71;4,85;5,31;6,38;7,99;9,46;10,49;11;11,27;11,67;12,41;13,28;14,17;14,97;15,74;16,5
-;M0;D50/2°;61,72;-32,59;-28,64;29,82;36,92;41,18;45,26;50,6;55,16;57,39;58,3;58,57;58,48;58,12;56,96;53,74;47,75;40,03;31,75;23,98;17,98;14,81;13,55;12,81;12,52;12,65;12,69;12,74;13,29;14,1;14,67;14,69;14,55;14,27
-;M0;D50/2°;83,77;-5,24;-14,26;54,88;62,24;67,55;72,81;79,41;84,53;86,25;85,46;83,2;80,12;76,94;74,63;72,68;70,54;67,75;63,91;59,77;56,77;55,91;56,45;56,65;56,7;56,95;57,25;57,84;59,32;60,62;61,34;61,09;60,74;60,38
-;M0;D50/2°;37,59;-8,16;4,26;5,72;7,16;7,68;7,76;7,68;7,82;8,25;8,89;9,75;10,74;11,7;12,21;12,13;11,57;10,85;10,12;9,45;8,95;8,66;8,47;8,36;8,47;8,75;8,9;8,92;9,04;9,19;9,44;9,69;9,91;10,11
-;M0;D50/2°;44,27;-41,54;6,26;6,64;8,05;8,61;8,67;8,41;8,78;10,15;12,36;15,54;19,71;24,28;27,69;28,56;26,07;21,28;15,85;10,87;7,04;5,23;5,26;5,94;6,49;6,78;6,69;6,31;5,99;5,91;6,19;6,68;7,1;7,4
-;M0;D50/2°;48,02;16,09;7,19;9,7;12,27;13,07;13,05;12,65;12,65;13,3;14,35;15,62;16,76;17,41;17;15,56;13,68;12,31;11,88;12,17;13,3;15,95;19,89;23,34;25,76;27,1;27,64;28,03;28,9;29,94;31,29;32,72;34,16;35,58
-;M0;D50/2°;30,33;7,92;-31,26;12,25;15,54;16,78;17,6;18,55;19,06;18,61;17,48;15,79;13,6;11,31;9,2;7,45;6,29;5,66;5,2;4,79;4,64;4,87;5,25;5,54;5,64;5,55;5,57;5,83;6,36;6,9;7,22;7,25;7,25;7,23
-;M0;D50/2°;17,9;0,29;1,3;2,05;2,24;2,36;2,36;2,29;2,3;2,35;2,36;2,35;2,38;2,43;2,45;2,44;2,45;2,49;2,47;2,48;2,53;2,54;2,54;2,54;2,53;2,59;2,64;2,63;2,6;2,56;2,55;2,55;2,58;2,63
-;M0;D50/2°;74,54;13,18;37,77;13,06;15,94;16,97;17,08;16,74;17,19;18,9;21,6;25,32;29,97;35,21;39,83;42,78;43,33;42,23;40,97;40,34;41,59;46,96;56,39;64,77;69,31;70,87;70,96;70,51;70,38;70,14;70,58;71,46;72,57;73,85
-;M0;D50/2°;60,53;-23,12;-40,77;36,84;44,94;50,19;55,64;63;68,8;70,63;69,86;67,36;63,62;59,27;54,76;49,38;42,87;35,86;28,66;21,88;16,81;14,42;13,61;12,9;12,41;12,29;12,29;12,58;13,52;14,64;15,17;14,84;14,35;13,78
-;M0;D50/2°;82,32;16,59;-10,91;54,03;60,86;65,34;69,38;74,16;77,62;78,24;76,63;73,46;69,02;64,23;60,22;56,95;54,41;52,77;51,71;51,17;52,65;58,12;66,92;74,13;77,42;77,96;77,84;78,07;79,09;79,69;79,98;79,69;79,51;79,47
-;M0;D50/2°;80,15;6,56;68,19;7,27;7,58;7,65;7,55;7,11;7,4;8,81;11,13;14,96;21,21;30,3;40,83;50,63;56,88;58,25;56,29;53,57;52,53;56,38;65,61;74,22;78,41;79,2;78,84;78,2;77,89;77,47;77,75;78,47;79,53;80,86
-;M0;D50/2°;52,25;52,73;13,73;12,19;14,69;15,24;14,93;14,24;13,84;13,86;14;14,16;14,21;13,97;12,88;10,9;8,61;6,99;6,49;6,93;9,28;16,08;28,03;40,93;52,04;60,23;65,55;68,56;70,74;71,66;72,28;72,6;73;73,49
-;M0;D50/2°;73,8;30,56;42,34;11,74;14,12;14,9;14,77;14,11;14,36;15,99;18,65;22,23;26,55;31,23;34,98;36,65;35,51;33,03;31,43;31,44;34,68;44,85;62,03;77,71;86,46;89,56;90,13;89,66;89,15;88,24;88,25;89;90,16;91,63
-;M0;D50/2°;83,2;-15,94;-13,92;51,8;59,18;64,47;69,74;76,41;81,76;83,95;83,91;82,79;81,42;80,31;79,95;79,23;76,98;72,66;66,45;59,79;54,27;50,93;49,02;47,48;46,9;47,22;47,68;48,31;49,78;51,2;52,04;51,89;51,55;51,12
-;M0;D50/2°;88,79;-0,48;23,24;31,73;37,57;40,46;42,32;44,19;46,28;48,43;50,85;53,99;58,11;63,19;68,56;73,15;75,67;75,62;73,78;71,69;70,71;72,31;76,6;80,3;82,04;82,8;82,87;82,53;82,64;82,52;82,83;83,18;83,68;84,29
-;M0;D50/2°;49,18;-1,27;10,68;8,47;10,75;11,56;11,74;11,7;11,97;12,69;13,76;15,14;16,68;18,13;18,94;18,95;18,34;17,64;17,04;16,58;16,47;16,93;17,76;18,46;19,1;19,64;19,87;19,92;20,19;20,5;20,95;21,39;21,83;22,24
-;M0;D50/2°;74,69;-41,11;29,34;15,9;17,95;18,82;19,42;19,7;20,63;22,55;25,52;30,58;39,1;51,12;64,06;74,03;76,46;70,19;58,77;46,44;36,06;30,49;29,71;30,7;31,36;31,16;30,71;30,32;30,44;31,01;31,9;32,74;33,47;34,04
-;M0;D50/2°;36,32;24,05;-24,46;16,38;19,98;20,96;21,2;21,16;20,78;19,81;18,29;16,27;13,86;11,46;9,31;7,56;6,48;6,05;5,93;5,92;6,39;7,9;10,33;12,57;14,05;14,52;14,81;15,64;17,22;19,05;20,8;22,26;23,64;24,96
-;M0;D50/2°;50,56;16,43;-11,03;17,85;22,29;23,91;24,63;25,21;25,68;25,81;25,66;25,21;24,19;22,67;20,57;18,06;15,74;14,31;13,82;13,91;14,89;17,42;21,14;24,27;26,22;27,02;27,3;27,75;28,82;30;31,22;32,27;33,28;34,28
-;M0;D50/2°;56,88;-6,88;36,27;5,53;6,45;6,74;6,6;6,12;6,23;7,32;9,15;11,85;15,57;20,04;24,22;27,18;28,25;27,61;25,97;24,11;22,8;22,91;24,36;25,85;26,91;27,49;27,61;27,52;27,72;28,03;28,66;29,4;30,16;30,93
-;M0;D50/2°;36,89;-29,34;0,49;5,56;6,9;7,43;7,49;7,3;7,55;8,49;9,97;11,99;14,45;16,9;18,35;18,13;16,09;13,08;10;7,33;5,35;4,41;4,36;4,66;5;5,33;5,38;5,17;4,97;4,91;5,09;5,41;5,69;5,9
-;M0;D50/2°;60,87;-42,9;-19,26;23,66;29,6;32,88;35,56;38,8;42,09;44,79;47,49;50,59;54,13;57,45;59,03;57;50,37;40,94;31,08;22,2;15,43;12;11,13;11,04;11,22;11,54;11,46;11,13;11,16;11,56;12,15;12,59;12,86;12,92
-;M0;D50/2°;95,77;-1,4;-3,26;65,81;72,58;78,41;84,36;91,75;97,56;99,84;99,33;97,27;94,5;91,8;90,75;91,07;92;92,09;90,36;88,04;86,48;86,33;87,48;87,83;87,49;87,66;87,94;88,28;89,33;89,89;90,01;89,32;88,66;88,09
-;M0;D50/2°;59,81;-24,49;-19,3;24,65;30,68;33,88;36,62;40,08;43,04;44,46;45,08;45,35;45,49;45,61;45,25;43,56;40,11;35,43;30,09;24,8;20,53;17,93;16,39;15,32;14,97;15,18;15,37;15,57;16,2;16,97;17,53;17,62;17,57;17,4
-;M0;D50/2°;43,32;-14,16;-3,22;9,2;11,71;12,71;13,18;13,59;14,11;14,68;15,36;16,21;17,19;18,16;18,64;18,32;17,25;15,82;14,23;12,66;11,39;10,53;9,89;9,46;9,43;9,7;9,87;9,93;10,13;10,38;10,67;10,88;11,04;11,14
-;M0;D50/2°;65,65;14,64;10,32;18,36;22,92;24,7;25,43;25,95;26,74;27,79;29,11;30,6;31,91;32,82;32,85;31,83;30,14;28,78;28,31;28,59;30,19;34,32;40,6;45,92;49,03;50,32;50,62;50,65;51,11;51,45;52,05;52,67;53,37;54,14
-;M0;D50/2°;83,36;7,37;-7,27;49,43;56,64;61,24;65,42;70,51;74,42;75,62;74,82;72,75;69,76;66,6;64,19;62,36;60,96;59,78;58,37;56,99;56,98;59,71;64,6;68,44;70,22;70,78;70,96;71,3;72,38;73,1;73,48;73,21;72,97;72,82
-;M0;D50/2°;92,96;-1,22;-2,1;58,65;65,85;71,32;76,66;83,31;88,59;90,73;90,51;88,97;86,81;84,71;83,95;84,26;85,03;85,09;83,56;81,46;80,07;80,07;81,25;81,7;81,59;81,93;82,3;82,65;83,71;84,31;84,53;83,99;83,48;83,04
-;M0;D50/2°;29,23;9,59;2,78;4,16;5,06;5,35;5,31;5,1;5,04;5,2;5,43;5,71;5,96;6,09;5,92;5,47;4,96;4,63;4,53;4,65;5,02;5,76;6,82;7,75;8,39;8,78;8,95;9,06;9,32;9,62;10,02;10,44;10,86;11,29
-;M0;D50/2°;66,25;10,2;45,07;6,9;8,17;8,58;8,4;7,8;7,98;9,42;11,8;15,16;19,54;24,61;29,21;32,35;33,32;32,65;31,52;30,73;31,32;35,11;42,05;48,25;51,76;53,03;53,15;52,89;52,95;53,01;53,63;54,58;55,69;56,93
-;M0;D50/2°;58,95;-26,62;31,23;7,21;8,32;8,69;8,64;8,24;8,46;9,72;11,84;15,18;20,14;26,47;32,66;37,1;38,34;36,33;32,23;27,56;23,46;20,91;19,9;19,71;19,94;20,28;20,39;20,29;20,4;20,7;21,27;21,89;22,45;22,94
-;M0;D50/2°;46,51;-30,65;-9,2;11,04;14,19;15,65;16,57;17,55;18,74;20;21,51;23,38;25,56;27,69;28,78;28,03;25,21;21,23;16,99;13,09;10,05;8,29;7,49;7,17;7,23;7,57;7,68;7,56;7,57;7,75;8,07;8,35;8,56;8,66
-;M0;D50/2°;48,1;-25,04;-44,37;20,54;27,61;32,2;37,04;43,85;49,55;51,87;52,23;51,12;48,57;44,9;40,25;34,33;27,5;20,88;14,85;9,72;6,25;5,08;5,24;5,15;4,99;5,22;5,29;5,28;5,63;6,18;6,46;6,25;6;5,74
-;M0;D50/2°;35,89;-1,58;-22,91;11,43;14,77;16,12;16,96;17,91;18,67;18,82;18,62;18,07;17,07;15,7;13,94;11,92;10,07;8,75;7,83;7,16;6,83;6,83;6,9;6,9;6,98;7,14;7,26;7,44;7,84;8,29;8,67;8,86;9,01;9,11
-;M0;D50/2°;74,6;-14,91;-9,01;35,19;42,15;46,11;49,6;53,94;57,56;59,23;59,73;59,74;59,66;59,79;60,05;59,68;58,08;55,11;50,84;46,14;42,18;39,62;37,89;36,49;36,1;36,55;37,03;37,53;38,66;39,79;40,58;40,66;40,61;40,47
-;M0;D50/2°;45,03;-31,96;-27;13,73;18,36;20,93;23,08;25,84;28,54;30,46;32,17;33,75;34,93;35,3;34,02;30,5;24,97;18,96;13,55;9,1;6,03;4,79;4,79;4,93;5,14;5,57;5,63;5,4;5,32;5,46;5,72;5,92;6,04;6,08
-;M0;D50/2°;68,01;-10,12;-30,8;44,26;51,92;56,76;61,49;67,58;72,16;73,26;71,91;68,95;64,86;60,4;56,23;51,91;47,25;42,48;37,43;32,47;28,85;27,49;27,43;27,26;27,13;27,04;27,1;27,64;28,99;30,4;31,16;30,96;30,59;30,14
-;M0;D50/2°;83,53;-13,84;1,42;39,72;46,52;50,52;53,9;57,93;61,46;63,57;64,88;66,14;67,87;70,21;72,91;74,8;74,68;72,06;67,42;62,25;57,92;55,37;54,2;53,34;53,14;53,63;54,03;54,36;55,34;56,27;57,02;57,18;57,23;57,22
-;M0;D50/2°;84,33;-15,81;43,55;16,6;19,41;20,57;21,13;21,41;22,36;24,33;27,33;32,09;39,56;49,82;61,21;71,4;77,4;77,49;73,12;67,39;62,33;59,75;60,08;61,12;61,83;62,29;62,39;62,19;62,4;62,65;63,29;63,96;64,68;65,43
-;M0;D50/2°;54,2;-52,21;10,22;9,56;11,36;12,09;12,28;12,06;12,67;14,67;17,87;22,64;29,24;36,94;43,37;46,01;42,87;35,24;26,04;17,36;10,62;7,46;7,64;8,91;9,73;9,87;9,5;8,87;8,4;8,35;8,82;9,56;10,19;10,63
-;M0;D50/2°;66,53;-32,89;-36,02;39,85;48,05;53,69;59,64;67,61;74,15;76,87;77,13;75,98;74,09;71,81;69,15;64,62;57,2;47,8;37,65;28,05;20,7;16,97;15,68;14,85;14,39;14,36;14,34;14,52;15,39;16,56;17,24;17,09;16,74;16,26
-;M0;D50/2°;69,57;46,62;-14,02;45,82;51,31;53,86;55,52;56,96;57,37;55,87;52,73;48,22;42,54;36,85;31,94;27,72;24,14;21,83;21,2;21,94;25,91;36,85;54,53;70,82;80,06;82,97;84;84,96;86,2;86,56;86,59;86,22;86,05;86,09
-;M0;D50/2°;48,91;-49,85;-12,19;11,24;14,76;16,56;17,57;18,48;20,19;22,93;26,72;31,54;36,9;41,55;43,46;41,1;34,18;25,3;17,02;10,29;5,57;3,73;4,21;5,21;6,02;6,64;6,53;5,85;5,24;5,02;5,39;6,08;6,67;7,07
-;M0;D50/2°;45,48;51,48;20,12;7,24;8,53;8,75;8,37;7,74;7,46;7,63;7,91;8,25;8,7;8,97;8,42;7,13;5,8;5,05;4,79;4,86;6,05;10,25;18,43;28,38;38,84;48,06;54,54;58,52;61,75;63,89;65,63;66,93;68,21;69,51
-;M0;D50/2°;57,87;47,67;-22,97;39,54;44,56;46,4;47,36;47,97;47,49;45,18;41,25;36,04;29,99;24,36;19,91;16,62;14,32;12,97;12,39;12,43;14,67;22,05;34,52;46,43;53,9;56,66;58,11;59,9;62,33;64,22;65,52;66,13;66,74;67,45
-;M0;D50/2°;61,3;34,48;43,58;6,08;7,08;7,37;7,09;6,41;6,48;7,68;9,61;12,19;15,28;18,55;20,91;21,61;20,4;18,47;17,31;17,34;19,78;27,51;40,7;53,23;61,44;65,62;67,46;68,07;68,52;68,48;68,92;69,69;70,72;71,96
-;M0;D50/2°;35,55;30,37;1,12;7,74;9,4;9,73;9,46;8,85;8,42;8,31;8,24;8,15;8,02;7,74;7,02;5,96;4,98;4,45;4,37;4,6;5,39;7,47;11;14,64;17,9;20,26;21,78;23,1;24,91;26,89;28,97;30,95;32,89;34,79
-;M0;D50/2°;72,22;29,58;-12,04;42,38;48,8;52,09;54,59;57,34;59,1;58,79;56,89;53,69;49,29;44,57;40,3;36,53;33,43;31,57;31;31,4;34,18;41,82;53,76;64,08;69,41;70,64;70,76;71,15;72,18;72,74;73,06;72,96;72,98;73,17
-;M0;D50/2°;42,13;-23,41;16,6;4,68;5,49;5,78;5,73;5,44;5,54;6,29;7,51;9,34;11,89;14,9;17,5;18,91;18,63;17;14,62;12,16;10,11;8,88;8,42;8,37;8,53;8,77;8,84;8,74;8,71;8,79;9,06;9,41;9,72;9,98
-;M0;D50/2°;77,03;5,48;15,86;24,47;29,86;32,22;33,5;34,69;36,12;37,68;39,51;41,74;44,24;46,86;49;50,12;49,99;49,14;48,11;47,34;47,74;50,57;55,55;59,75;62,11;63,18;63,41;63,32;63,68;63,87;64,36;64,84;65,4;66,03
-;M0;D50/2°;42,89;-2,86;-48,4;24,38;30,93;34,61;38,37;43,57;47,29;47,42;45,21;41,22;35,81;30,06;24,85;20,38;16,86;14,15;11,5;8,92;7,18;6,74;6,94;6,85;6,53;6,21;6,16;6,59;7,51;8,46;8,79;8,37;7,88;7,41
-;M0;D50/2°;68,26;-45,29;52,26;7,11;6,26;5,83;5,82;5,51;5,68;6,66;8,41;12,24;20,13;32,74;47,68;60,63;66,18;61,97;51,16;38,6;27,82;22,24;22,17;24,03;24,9;24,23;23,52;23,15;23,26;23,8;24,55;25,24;25,88;26,45
-;M0;D50/2°;56,31;-15,24;-2,28;15,53;19,63;21,42;22,57;23,84;25,1;26,02;26,89;27,91;29,11;30,46;31,38;31,4;30,36;28,57;26,21;23,65;21,47;19,94;18,76;17,89;17,74;18,12;18,42;18,62;19,1;19,64;20,14;20,39;20,56;20,65
-;M0;D50/2°;35,27;15,39;1,56;6,35;7,92;8,35;8,26;7,89;7,75;7,98;8,37;8,85;9,25;9,36;8,9;7,9;6,77;6;5,76;5,93;6,56;7,99;10,13;12,08;13,56;14,48;14,94;15,31;15,97;16,74;17,67;18,62;19,55;20,46
